Q2b,Q3b,Q4_6_TEXT,Q5_14_TEXT,Q6_4_TEXT,Q6b,Q7_22_TEXT,Q9c,Q10c,Q11_16_TEXT,Q11c,Q13_16_TEXT,Q14b,Q16_9_TEXT
NA,Range of responses to environmental perturbation by species from the same functional group.,0,0,0,"I am maybe not seeing that much as conservation (only) but also as a useful concept in terms of food security, for example. Or in agroforestry (and other agricultural context). In addition, as we're in the decade of restoration, knowing about response diversity could be very informative in restoration projects. ",0,"stated that site has less predictable through stochastic environmental changes to environmental conditions, which may occur at random and need a long period of time for them to potentially occur. Then also need to follow up this measurement post-disturbance to get some data once the community has stabilised",NA,NA,"I generally question lumping organisms/species into functional groups, so I ranked those fairly low. I think interspecific is really interesting, and who doesn't love a good metapopulation?",NA,"Yes, for comparing the role of response diversity across systems, disturbances, and ecological functions/services. No, in terms of differences in what might be of interest (within species vs. interspecific vs. metacommunity, for example) across studies - although perhaps each biological level needs a separate term for response diversity with standardized methodology within. ",NA
NA,NA,0,0,0,The response diversity and ecosystem functioning generated by combination of species or genetic pool in natural communities should be explored.,0,"in terms of the system described, I think the relevant scale would be one that captures the growth and reproductive cycle of the organism so to quantify the dynamics and persistence of the population","if this is about a specific plant community, measure across microhabitats within that community and/or local replicates.",NA,NA,NA,Because that is crucial to gain general pattern of the diversity by comparing across studies,NA
NA,NA,0,0,providing insight into system resilience; degree to which it is present or absent should have explanatory power,"Much of current coral reef conservation and restoration research is focused on maintaining thermally tolerant types. However, research from a complex adaptive systems perspective shows that maintaining a combination of stress-tolerant and rapidly growing types can (theoretically) more effectively maintain overall coral reef system resilience to climate change, and current natural recovery from bleaching events is dominated by stress-susceptible, fast-growing corals.  Therefore, conservation and restoration targeted on multiple types in terms of response diversity might better achieve management goals.",0,"Seasonally allows you produce a fine enough time series to capture seasonal dynamics, but I opted for high end because turnover processes typically happen over slightly longer timescales and you have to leave some room in there for plastic or transgeneration responses.",Because the impacts of inter-individual interactions expected to be weaker at broader spatial scales.,All these options will highly depend on the system we are studying and the knowledge we have about it. ,Focus is on what drives the delivery/stability of ecological function/services,NA,NA,NA
there is a lot of conceptual fuzziness with regards to response and effect traits (ie same traits can be used to quantify both types of diversity),NA,"Diversity of functional responses to some kind of input variable (e.g. disturbance, environmental change) within a community.",0,0,NA,0,"For me it depends on what perturbation I'd be focusing on. If I wanted to know the response diversity of community impacted by a short term drought I would measure response diversity on a daily/weekly scale. If I wanted to know response diversity to climate change it may be more of a yearly, broader (even evolutionary) scale. ",Larger scale variation in traits (and different traits) etc is needed to explain responses over larger temporal and spatial scales so there is no right answer ,NA,"It's more that I'm most interested in this biological scale than the core belief that it is the most relevant. I think it's crucial that we do it across all scales, and my focus would be intraspecific response diversity. This also comes from the conservation or restoration perspective where a single species is in focus (e.g. keeping beech tree populations viable in Europe or finding a good mixture of genetic variants of a crop to maximize productivity and the stability of the productivity).",NA,"hard to do as all studies are typically different, with different aims etc. Perhaps need more guidance on how to measure based on a few common aims and/or ecosystem types/levels of organisation measured etc",NA
NA,NA,0,0,0,Expectation that response diversity mediates the stability of communities/ecosystems,0,"It takes long time series to measure overall system resiliency (both engineering resilience and Holling-type ecological resilience), the main emergent property that response diversity affects","I think landscape scale is the ideal spatial resolution for providing concrete management solutions, e.g. in forestry",NA,"We know that there is lot of variation in response traits among species. I think we would miss a lot of important variation, if we go to functional group level. Genetic diversity is too expensive to measure. ",NA,"I wonder whether researchers who study organisms/communities that aren't easily studied with that standardised methodology would then be discouraged. It might ne difficult to find a methodology that fits all. But for sure there is currently a lack of data/studies, so anything that increases data generation in a way that can also be compared across studies if of course beneficial to the field.",NA
NA,NA,0,0,0,"I think they reflect the real possibility of the field to aid in community engineering, and in better monitoring programs.","I am a bit confused about the question: Option 6 and 7 is talking about the spatial aspect of response diversity (similar to spatial insurance hypothesis), but if I think of Sam Ross paper 2023 it is all about temporal aspect. so I think we need first a clear definition and range of response diversity to complete this survey.",It depends on the function or service of interest. But since recovery of long-lived taxa can take decades I suggest decades is a suitable timeframe.,NA,NA,"Functional differences are greatest and so have the greatest impact on functioning, while being able to acually ocurr (if dispersal limeted too much potential changes may never be expressed) ",NA,NA,NA
NA,NA,0,0,0,"Knowing which functional groups in a community lack response diversity to a given impact is necessary to understand which species should be prioritized in terms of conservation, that is, which species should be trying to protect from other possible impacts. In addition, we could also actively promote the existence of response diversity among these organisms, for instance, by transplanting organisms with different genotypes",0,"I chose the temporal scale that best relates to population growth processes, as I think the population dynamics would have to occur (increase / decreases of species in repsonse to an environmental change) to drive shifts in persistence of ecosystem properties. If the time-scale of response diversity is too short then it may only measure stochasticity in population change, whereas too long and it is not feasible for management to monitor or act on findings. So, to first quantify response diversity, performance-environment relationships should be built that represent population dynamics in equilibrium with the environment and aggregated over sources of stochastic changes or measurement errors. ",NA,NA,"If the goal is to maintain all ecosystem functions, response diversity should be maximised within each functional group, for all functional groups.",NA,Too many types of organisms,NA
NA,NA,0,0,0,A greater response diversity may allow for compensatory dynamics among species within a given functional type.,0,NA,"This one is a little more complicated, because in addition to the logistical considerations, it also depends on the scale of the goal and specific system attributes (e.g., are species common/rare in the system, landscape matrix)...",NA,Knowing how different functional groups or species respond to environmental stochasticity could potentially facilitate predicting the stability or sustainability of ecosystem functions.,NA,"""Conducting response diversity studies"" is so broad that I don't see how the methodology could be standardised.",NA
"Different methods of computing response diversity are often conflated; some calculate as diversity in functional ""response"" traits whereas others use variation in species-specific responses (e.g., change in biomass, occurrence). Yet, these two metrics need not always align and it is rarely tested whether diversity in response traits confers diverse responses among community constituents to a driver ",NA,0,0,0,"beyond species diversity, response diversity indicates what aspect the community really responds to external disturbance",0,"I think a broad scale would be the most relevant in this case, as researchers and ecosystem managers want to ensure the functioning of this particular plant community and its contributions to people over time, so their are looking at long term goal. The answer would have been different for another community and another goal (e.g. agricultural yield).",The spatial scale should be large enough to include spatial metacommunity mechanisms affecting persistence,NA,For ecosystem functioning and community composition I'd imagine response diversity of functional groups and of species is more informative than response diversity of populations or individuals. ,NA,there could be many useful ways to define response diversity. A standardised method could imply restricting the concept to a single practical (but not necessarily relevant) definition. ,NA
NA,NA,0,0,0,"I think ""maintaining, measuring/monitoring, and mitigating"" is a nice way to summarize how this concept can be applied to conservation efforts",0,Given the variability in time (years - centuries) required for species and communities to fully respond to different disturbance types and levels.,"Setting the spatial scale is much more difficult than temporal scale! Optimally i would go for regional scale to capture natural variation in environmental conditions of the species. But as this is often not doable, we tend to measure things at single patch-scale.",NA,This response may be biased by my own interested. I consider more realistic studying response of communities than of populations given than individuals do not occur on real world isolated as individual species but interact with each others ,NA,To make it easier to generalise results across studies.,NA
"The original Elmqvist et al paper defines response diversity in terms of resilience, which is a concept that itself is debated and not exactly clear. I would like to see response diversity be defined mathematically, so that things can be accepted or rejected as qualifying, without invoking all of the different written definitions. ",NA,0,0,0,"I feel all of the options given there have potential application in conservation/ecosystem management, atleast monitoring aspect can inform some early warning signal, or say for example specifically excluding a species (the invasive one) you can preserve the native ecosystem functioning. And even you can measure the species level contribution to aggregate-level response diversity, and if response diversity relates to stability/resilience it could be helpful to do the monitoring. Though I am not sure how in a single monitoring project you could cover all the aspect of response diversity (geneto population level).",0,Temporal scale over which ecosystem services fundamental to human life are sustained or fail,Broad scales are the best. No generalizability without broad scales.,NA,"I would imagine the first priority is looking at the species level, then branching to functional groups, metapops, and then considering other species, interactions, and communities, in that order. Otherwise, it would be difficult to interpret signals from larger biological scales.",NA,"I am not sure if we need a common methodology for conducting response diversity studies. What we do need, though, is a common and standard way to quantify response diversity. ",NA
"It does not have a clear metric and scale (what is high/low RD), and it has not fully reflected that monoculture responses to the environment will change when in assemablages",NA,0,0,0,NA,0,"because you are interested in long term changes, and responses over years to decades. Community responses are generally quite slow",NA,NA,"It depends on how response diversity is defined (e.g., interested in single or multiple functionalities of an ecosystem?)",NA,NA,NA
I find it difficult to disentangle response diversity from niche theory and demographic heterogeneity,NA,0,0,0,NA,0,"finding it difficult to answer this question, based on how the problem is stated. Both short-term and long-term environmental variability are mentioned, but how and when response diversity is measured will depend on the specific question. Given the above I'd say measure/manage annually or every few years over many years.","It depends on the spatial scale at which environments influence organisms, and the scale of dispersal amongst meta-populations, so I found this harder to give a single answer for. It also depends on how well structure spatially communities are, if they are composed of many species that differ in the spatial scale at which organisms interact with their environment then a single scale for response diversity may not make much sense (e.g., if you have a community half composed of migratory species, do these contribute to response diveristy?)",NA,NA,NA,I think there needs to be clarity of assumptions and definitions in each body of work.,All the above have similar importance to me
NA,NA,0,0,0,NA,0,you need to observe the response of each plant species to at least one stochastic events,scale at which populations and water cycles operate  ,NA,"i tried to match them with my current understanding of RD, but i definitely think other concepts or reseach foci would result in a different ranking",NA,It is necessary to set up an experimental scheme that takes similar matters into account.,NA
NA,NA,0,0,0,"I think it's a powerful theoretical concept, and can be important to highlight the need to protect diverse ecosystems, but is far from a direct application.",0,"This question doesn't make sense to me. Should the question be ""at what frequency of environmental variability does response diversity matter/emerge"". ","again, it depends on the research taxa. For plants, large spatial scale should be required, especially for trees.",NA,"I think that that the level of functional group provides a clear (measurable) mechanistic link between species diversity and ecosystem processes that underpin stability/resilience. However, I think there's plenty of important information to be harnessed from unpacking genetic variation, but it is costly and time consuming. Hence, my response is based (to som extent) on feasibility.",NA,"I think there needs to be open work on methodologies, and definitely some elements of standardisation (i.e., a common vocabulary) but we also want to promote innovation and method development, which requires standardisation but also freedom",NA
NA,NA,"I think that all of these are used in the literature, but would personally find B to be most informative (while other listed measures may serve as more easily measurable proxies).  ",0,0,NA,0,NA,NA,NA,depends on the scale,NA,"Or at least how its measured, for example with regards to which traits are included, what metric is used to quantify, etc.",NA
NA,NA,0,0,0,To reveal the pattern and process from the response diversity will improve predictability to future response under changing world,0,choosing a broad scale will allow to test for adaption of species,ecological scale of plants for the environmental disturbance described in the example,NA,"Community biomass most strongly driven by functional group differences, residual variation somewhat explained by interspecific and genetic differences. Managers may be more interested in local consequences of response diversity.",NA,"The lack of definition disables comparison between sites, organisms, etc",NA
NA,NA,0,0,0,NA,0,"I would hypothesize that processes such as population responses to environmental stochasticity and species extirpations to occur on this time frame. The evolutionary time scale would also be relevant, it practicable.","community is quite stable so dont need to measure massive areas, changes are predictable too",NA,"Scale depends on the question, but for me response diversity is most intersting at the community level, and within similar functional groups.",NA,"If you get it wrong, all studies will be wrong - diversity in experimentation is as important in studying response diversity!",NA
NA,The variability in response curve of relationships between environments and phenotypic traits among multiple species.,0,0,0,"All options a important in some regard. Active manipulation in terms of combining (multiple) crop species (with different response traits) can be key in agricultural systems to cope and prepare for, for example, climate change, such as drought. This ideas should, however, not be conflated with the idea of optimizing systems through manipulation as this may in fact reduce response diversity. Since the perturbation landscape is different today compared to some  decades ago, and that the uncertainty in how shocks may interact, response diversity provide a framework to preparedness for the unknown. Monitoring of response diversity is generally 'indirect' in the sense that it builds mostly on the assumed correlation between response-number of species. I believe that the spatial distribution of species and how that contributes to response diversity, has been overlooked.",0,"The scale reflects annual seasonal cycles as well as (and more important) less predictable stochastic environmental changes, which seem - as far as I understand - the most important determinants of response diversity","The spatial scale should encompass as many different sites as possible, but too many sites would be impractical.",NA,NA,NA,the potential range of study organisms and ecosystem functions is so broad that i'm not sure it's practical,NA
NA,NA,0,0,Active manipulation of abiotic aspects of the environment (not communities) to increase response diversity.,"Because response diversity is about being able to respond to all kinds of changed conditons, I find the first option above too invasive and risky because we don't know all the aspects of change we will face and may make mistakes about thish community aspects to boost. Therefore I believe it makes more sense to focus on broader types of managements options that are known to broaden diversity, therby hopefully leading to more options that are adapted to the ecosystem dynamics intself.",0,"I wouldn't be interested in community response to begin with. I would be interested in persistence of ecosystem function, as I work with ecological resilience, not engineering resilience",NA,NA,NA,NA,"That would require a standardized understanding of what it means, which will never happen.  Perhaps a more approriate goal would be a standardized method for all users who agree upon what is being measured and why.",NA
A mathematical definition,NA,0,0,0,"Maintaining diversity should be a key aspect of conservation / management, and response diversity (maintaining functional redundancy) should be an important part of conservation, especially that which focuses on maintaing processes underling ecosystem health, rather than identiffying specific winning or losing species",0,"Over these time scales there is sufficient environmental variation ocurring for a range of winning and losing strategies to be expressed, and enough time for these to translate into outcomes for community composition and ecosytem functioning (e.g. via growth, recruitment and mortality differences) ","This is even harder than the previous question. And again I would say that it depends on the ecosystem studied. But again I would guess that higher scales are probably more likely to give a broad picture and better understanding och the system's dynamics, simply because it allows for more variation. It would be also more likely to identify relevant patchiness measures, which also connect to the concept of abrupt change/regime shifts that I touched upon in my response about temporal scales. I would say the relevant scale is the one where you can identify enough variation to understand in what way dfferent system properties influence it's outcome and possible abrupt change.",NA,NA,NA,Because response diversity can differ depending on the choice of functional traits (which in turn often depends on data availability) to characterize species pools,NA
Plethora of overlapping definitions but the distinctions between these definitions are often very important to a nuanced understanding of the topic.,Variation in the response to environmental variation among species/populations/individuals with similar ecological functions.,0,0,0,NA,0,"It depends on the plant species in your ecological community. If they have super short generation times/fast growth, then the scale has to be finer.  So, in essence, I think the answer is tied to growth rates/generation times. Obviously there is also a trade-off in how much resources you have for the monitoring, which tip the balance more towards large scales. ",NA,NA,species as the natural unit of functional response,NA,NA,NA
NA,NA,0,0,0,NA,"None. Response diversity is an emergent feature from other mechnisitic drivers.  It is a macro-level system descriptor and does not act as a ""driver"".","It's not that response diversity is most relevant at that cycle - but considering logistics and goals, that might be the most relevant scale to MEASURE and MONITOR the system. ",Dispersal and migration are too often overlooked.,cross scale interactions,"7. Because the complex response pattarns of multiple species in a communities are expected, I think that the response diversity of multiple community types can assume ecosystem stability.  ",NA,NA,NA
NA,NA,0,0,0,These all fit with my understanding of why response diversity is important and where it has an impact on inference,0,to see variations in population growth rate,The scenario didn't describe the spatial situation. ,NA,NA,NA,"I can see the benefits for comparing among studies but I dont think having a single method would necessarily be possible across differnet ecosystems, functions, communities etc.",NA
NA,NA,0,0,"restoration, can be hard to get all species back (particularly in highly diverse sites), but if can restore response diversity perhaps its ok not all species can be brought back into restored sites",All directly relate to how we might manage ecosystems effectively and look beyond charismatic species or a piecemeal approach to conservation,0,This is the timescale at which species selection starts.,"Similar answer as the previous one - environmental conditions, but also the plant community composition, will vary strongly with spatial variables (e.g. longitude and lattitute, even elevation). If we want to make any general assumptions on response diversity and its effects on the ecological stability, again, we would need to consider larger spatial scales, encompasing regions with different climates.",NA,NA,NA,NA,NA
"What is the response to? What is responding? I guess these are not clear, but not sure how to integrate that in the name.",Different responses to change among organisms with similar functional roles. ,0,0,Maintaining ecosystem functioning under environmental change by conservation (protection) of community and genetic composition as it relates response diversity,NA,their response to environmental variation and other species through time,response time scale of plants,I think that the metacommunity scale is important to examine because dispersal between patches can restock communities with species to increase response diversity.,NA,I chose #5 because the research question was framed around continuing function and contributions to people.,NA,"In theoretical studies there are established standardized metrics for measuring resiliency and functional diversity in communities.  I am less familiar with empirical measurements and whether or not standardized methodology is a need.  However, this literature has long-standing roots in the literature on functional diversity, which does have established methodology.",NA
NA,NA,0,0,0,may be another dimension of biodiversity that we neglected,0,"Weather conditions can be very different from season to season, year to year, and in order to monitor a plant community (where the generation time exceeds days, weeks etc.) and at the same time account for weather / environmental variability, such a study would need to spam several years (at least 3-5).","It depends even more on the function or service of interest. E.g., we can think of response diversity with local and global carbon sequestration. Both are valid.",NA,"it's preferable to use a more inclusive definition of community for quantifying response diversity, as functional groups can be defined quite subjectively (and probably vary across studies). ",Lack of broad appreciation of principles and ideas from dynamical systems theory and robust control (how systems process signals at different frequencies).,NA,NA
NA,NA,0,"I would have selected option 3 but for the confusing mix of stability and resilience. so my answer instead is, to gain understanding of current ecosystem ecological resilience and the underlying mechanisms",0,Maximising response diversity could be a very powerful tool to maintain ecosystem functioning in face of environmental change ,0,"Depending on the organism of interest, but for annual plants / insects, measuring responses for each generation (one year) is directly linked to its population dynamics. ","If these habitats are connected and therefore one habitat can help to replenish the other after the impact, you may want to explore response diversity at this regional scale, since otherwise you are missing pieces in the puzzle. In addition, working at too broad scales means that you might not be able to manage.",NA,Because survey based on meta-community/population structure catch the effect of multiple scale drivers.,NA,"I do think a standard methodology should exist, but I don't necessarily think everyone should follow it.  Having a standard will allow people who want to coordinate to do so efficiently, but we should leave some room for researchers to have diverse responses to this challenge as well",NA
NA,NA,0,0,0,"I'm curious to see whether it would be possible to link response diversity to ecosystem stability in some systems. At the moment, i feel that response diversity is way too wide concept to be useful in any conservation/management questions. We simply don't know which organisms, which responses (=to which environmental gradients), with or without species interactions and which scale should we measure in practice. The concept is not ready for any applied use yet, i think.",0,temporal scale is related to patterns of frequency of cross scale interactions from outside system of study,RD makes most sense in a metacommunity contect,NA,RD within a species can contribute to the overall response diversity and consider variation within species. If we want to manatin specific key EF under global changes we have to ensure the RD within the species that provide that EF is high. In this way there will be always a bunch of species responding to changes and providing that EF. Similar narrative could be applied to individuals of the same species. ,NA,It would improve the clarity of the concept and its operationalisation. ,NA
"without searching the internet, I am not sure what it means. I can only suppose that it either means statistically that different response variables are measured, or that species respond differently to environmental stressors",The diversity of responses exhibited by a community of species when faced with a pertubation or disturbance.,0,0,0,NA,0,This refers to the temporal scale that is typically applied in studies of forest ecosystems (decadal temporal dynamics of forests) but it may be different if the studies ecosystem is another one,"The answer to this question depends very much on the scale at which community dynamics are expected to influence the ecosystem function or service of interest (as well as the range and dispersal abilities of the species in the community). For many services, I would lean towards the local to regional scale - particularly given the role that beta diversity could play in maintaining response diversity and stability. ",NA,NA,NA,"For response diversity, and any type of functional diversity, I think it's hard to assume a standard method would capture each system in the most relevant way",NA
Stronger connection between verbal definition and measurements of response diversity ,NA,0,"To understand spatial graidents in response diversity to see areas of importance for resilience/stability. To understand stability in biodiversity, or turnover of species, with responses to specific environmental changes. To quantify multi-species responses to multiple-stressors and understand spatial patterns in these.",0,NA,0,It depends on the organisms analysed and their generation times (e.g. grasses ≠ trees). I considered an 'intermediate' type of ecosystem with 'intermediate' generation times,"If doable, regional makes most sense to me, if the local habitats are connected or each habitat patch is experiencing very different global change drivers (fast or slow). ",NA,"A number of plant species make it sound like there are alot of species, which could be tricky to get all appropriate data on, so measuring by functional guilds first may be appropriate before going down to a finer scale if need be. genetics last as not sure this will tell us the most info and may also be resource intensive to determine for a lot of species",NA,To make different studies comparable,NA
"There is a lack of a clear definition of ""response diversity"" and how it can be measured for different taxonomic groups and/or study systems. ",It refers to the range of responses expressed by different species of a community in front to a stressor.,0,0,It is a general strategy and can be used to guide conversations.,"I'm primarily interested in characterizing response diversity and conserving/restoring the processes that maintain/generate response diversity. For the focal species I specialize in, I am skeptical about the success of active manipulation/mitigation based on predictions. ",0,"One could focus on a particular event at the minimum (weeks?), but a few years might be needed to get an estimate of the responses to all pertubations",NA,NA,"again, depends on the species, but especially for management, species is a scale that can most easily be monitored/ managed",NA,Variation across systems,NA
NA,NA,0,0,0,NA,0,"The scale of seasons to years would incorporate small scale variations (i.e., minutes, days and weeks) but would allow for a long enough period to affect many species' lifecycles or demographies. The reason I place low confidence is that I think this will vary depending on the species and the system, i.e., the response of an organism with short generation times may need to be measured in shorter time scales than a longer lived organism, or if you are monitoring behaviours this would need to be done at shorter timescales than say growth or biomass accrual)",NA,NA,diversity within a functional group would help maintain a certain ecosystem function that might not be performed by other functional groups,NA,too constrained,NA
NA,NA,0,0,0,"RD holds the promise to allow prrediction of system-wide responses to change based on the compositiin, which would increase our ability to apply feedforward management",0,"i expect shifts in community composition, or species turnover, or phenotypic plasticity, to be a more important driver than evolutionary change","As a landscape ecologist, I consider the intersección between local and regional scales the most relevant. Probably because It is the scale at which most human-driven disturbances occur",NA,"Again focusing on nature's contribution  to society, I think it is essential to gain knowledge about what may or may not alter broag ecosystem functionning that matter for society. This is why I think response diversity among and within functional groups is very important. The other aspects matter too because of their influence on response diversity at functional group level.",NA,"With standardized methodology, studies in different systems can be directly compared and the results could be generalized across large temporal and spatial scales.",NA
"Some discourse on response diversity focus more on trait-environment relationships, and use traits as proxies for performance-environment relationships, whereas others use performance-environment relationships more directly. I think this difference could leads perhaps to some difference in the definitions of 'response diversity' and its consequent importance for emergent community properties such as stability.",NA,0,0,0,NA,0,"Generation time, numerical responses","I think that at least local information is needed, to capture impacts of species interactions. Larger scales are of course also important, but are easier to reconstruct from local data than vice versa.",NA,NA,NA,Definining response and effect traits is sometimes tricky for different arthropod groups,NA
NA,NA,0,0,0,NA,0,"because plants respond not at daily scales to environmental variabilitym but at the scale of weeks or months, this can be measured, and it will also have an effect on ecosystem functioning at this time scale",Examining and managing natural systems at broad scales is in line with the global-scale impacts of human land use change and climate change.,NA,"I do not think there is a fundamental scale, absolutely more relevant than others. My view is that we define response diversity as encompassing the effects of having a high dimensional and dynamical system underlay the response observed at a more aggregate scale. (having many species participate I a function for instance).   ",NA,to moving the research topic forward and for cross-system comparisons,NA
